学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI,测试评分,测试评价
stu001,学生001,大一1班,男,1,7.5,3:52,,196,7,,20.2,,
stu002,学生002,大一1班,女,1,9.3,,4:10,175,,28,21.0,,
stu003,学生003,大一1班,男,1,8.1,4:16,,208,9,,21.6,,
stu004,学生004,大一1班,女,1,10.0,,4:30,185,,32,22.2,,
stu005,学生005,大一1班,男,1,7.2,4:40,,220,11,,23.0,,
stu006,学生006,大一1班,女,1,8.9,,3:50,195,,36,19.8,,
stu007,学生007,大一1班,男,1,7.8,3:52,,190,6,,20.2,,
stu008,学生008,大一1班,女,1,9.6,,4:10,170,,40,21.0,,
stu009,学生009,大一1班,男,1,8.4,4:16,,202,8,,21.6,,
stu010,学生010,大一1班,女,1,8.6,,4:30,180,,26,22.2,,
stu011,学生011,大一2班,男,1,7.5,4:40,,214,10,,23.0,,
stu012,学生012,大一2班,女,1,9.3,,3:50,190,,30,19.8,,
stu013,学生013,大一2班,男,1,8.1,3:52,,226,12,,20.2,,
stu014,学生014,大一2班,女,1,10.0,,4:10,165,,34,21.0,,
stu015,学生015,大一2班,男,1,7.2,4:16,,196,7,,21.6,,
stu016,学生016,大一2班,女,1,8.9,,4:30,175,,38,22.2,,
stu017,学生017,大一2班,男,1,7.8,4:40,,208,9,,23.0,,
stu018,学生018,大一2班,女,1,9.6,,3:50,185,,24,19.8,,
stu019,学生019,大一2班,男,1,8.4,3:52,,220,11,,20.2,,
stu020,学生020,大一2班,女,1,8.6,,4:10,195,,28,21.0,,
stu021,学生021,大一3班,男,1,7.5,4:16,,190,6,,21.6,,
stu022,学生022,大一3班,女,1,9.3,,4:30,170,,32,22.2,,
stu023,学生023,大一3班,男,1,8.1,4:40,,202,8,,23.0,,
stu024,学生024,大一3班,女,1,10.0,,3:50,180,,36,19.8,,
stu025,学生025,大一3班,男,1,7.2,3:52,,214,10,,20.2,,
stu026,学生026,大一3班,女,1,8.9,,4:10,190,,40,21.0,,
stu027,学生027,大一3班,男,1,7.8,4:16,,226,12,,21.6,,
stu028,学生028,大一3班,女,1,9.6,,4:30,165,,26,22.2,,
stu029,学生029,大一3班,男,1,8.4,4:40,,196,7,,23.0,,
stu030,学生030,大一3班,女,1,8.6,,3:50,175,,30,19.8,,
