学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI,测试评分,测试评价
stu021,学生021,大一3班,男,1,7.5,4:16,,190,6,,21.6,,
stu022,学生022,大一3班,女,1,9.3,,4:30,170,,32,22.2,,
stu023,学生023,大一3班,男,1,8.1,4:40,,202,8,,23.0,,
stu024,学生024,大一3班,女,1,10.0,,3:50,180,,36,19.8,,
stu025,学生025,大一3班,男,1,7.2,3:52,,214,10,,20.2,,
stu026,学生026,大一3班,女,1,8.9,,4:10,190,,40,21.0,,
stu027,学生027,大一3班,男,1,7.8,4:16,,226,12,,21.6,,
stu028,学生028,大一3班,女,1,9.6,,4:30,165,,26,22.2,,
stu029,学生029,大一3班,男,1,8.4,4:40,,196,7,,23.0,,
stu030,学生030,大一3班,女,1,8.6,,3:50,175,,30,19.8,,
