学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI
2025402001,陈奕辰,大二演示1班,男,2,6.58,192,,272,18,,20.6
2025402002,林泽宇,大二演示1班,男,2,6.64,198,,268,17,,21.0
2025402003,许嘉豪,大二演示1班,男,2,6.72,205,,264,16,,20.8
2025402004,邵俊驰,大二演示1班,男,2,6.80,214,,259,15,,21.2
2025402005,彭浩然,大二演示1班,男,2,6.92,222,,255,14,,21.5
2025402006,魏子墨,大二演示1班,男,2,7.05,230,,262,18,,21.7
2025402007,沈嘉树,大二演示1班,男,2,7.18,238,,257,13,,22.0
2025402008,顾明轩,大二演示1班,男,2,7.32,246,,248,12,,22.2
2025402009,宋昊天,大二演示1班,男,2,7.45,255,,242,11,,22.5
2025402010,陆星野,大二演示1班,男,2,7.58,262,,236,10,,22.8
2025402011,程宇轩,大二演示1班,男,2,7.72,270,,230,9,,23.1
2025402012,方景澄,大二演示1班,男,2,7.86,278,,224,8,,23.4
2025402013,任博远,大二演示1班,男,2,8.02,286,,218,7,,23.6
2025402015,唐瑞泽,大二演示1班,男,2,8.18,294,,210,6,,24.0
2025402016,苏语桐,大二演示1班,女,2,7.72,,205,225,,65,20.1
2025402017,顾清妍,大二演示1班,女,2,7.80,,210,222,,62,20.4
2025402018,温书瑶,大二演示1班,女,2,7.90,,216,218,,60,20.8
2025402019,孟雨菲,大二演示1班,女,2,8.00,,222,214,,58,20.6
2025402020,姜可心,大二演示1班,女,2,8.10,,228,210,,56,21.0
2025402021,季安然,大二演示1班,女,2,8.22,,234,206,,54,21.4
2025402022,黎若溪,大二演示1班,女,2,8.34,,240,202,,52,21.8
2025402023,许沐晴,大二演示1班,女,2,8.48,,246,198,,50,22.0
2025402024,夏书宁,大二演示1班,女,2,8.62,,252,194,,47,22.3
2025402025,乔依琳,大二演示1班,女,2,8.78,,260,190,,44,22.6
2025402026,沈芷琪,大二演示1班,女,2,8.94,,268,186,,42,23.0
2025402027,杜欣悦,大二演示1班,女,2,9.12,,276,180,,39,23.5
2025402029,白婉清,大二演示1班,女,2,9.28,,286,174,,36,24.0
