学号,姓名,班级,性别,年级,50米,1000米,800米,立定跳远,引体向上,仰卧起坐,BMI
2026401001,李浩然,大一演示1班,男,1,6.95,205,,258,16,,21.0
2026401002,王子轩,大一演示1班,男,1,7.05,212,,252,15,,21.4
2026401003,张宇航,大一演示1班,男,1,7.12,218,,246,14,,20.8
2026401004,刘俊杰,大一演示1班,男,1,7.28,225,,241,13,,21.0
2026401005,陈泽宇,大一演示1班,男,1,7.41,232,,236,12,,21.6
2026401006,杨皓轩,大一演示1班,男,1,7.55,248,,245,17,,21.7
2026401007,黄俊驰,大一演示1班,男,1,7.72,244,,255,10,,22.3
2026401008,赵晨阳,大一演示1班,男,1,7.88,255,,214,8,,22.6
2026401009,周博文,大一演示1班,男,1,8.06,266,,208,7,,23.0
2026401010,吴嘉豪,大一演示1班,男,1,8.24,276,,202,6,,23.4
2026401011,徐天宇,大一演示1班,男,1,8.38,284,,196,5,,24.1
2026401012,孙一鸣,大一演示1班,男,1,8.62,296,,188,4,,24.8
2026401013,朱梓轩,大一演示1班,男,1,8.86,308,,180,3,,25.4
2026401015,胡承泽,大一演示1班,男,1,9.08,322,,172,2,,26.2
2026401016,郭欣怡,大一演示1班,女,1,8.12,,218,210,,60,20.4
2026401017,何雨桐,大一演示1班,女,1,8.25,,224,206,,58,20.7
2026401018,高梦瑶,大一演示1班,女,1,8.35,,232,200,,55,21.0
2026401019,林诗涵,大一演示1班,女,1,8.52,,238,194,,53,20.2
2026401020,罗佳宁,大一演示1班,女,1,8.66,,244,188,,52,20.8
2026401021,郑可欣,大一演示1班,女,1,8.78,,250,183,,50,21.2
2026401022,梁思雨,大一演示1班,女,1,8.91,,255,178,,48,21.6
2026401023,谢雅婷,大一演示1班,女,1,9.08,,262,172,,46,22.0
2026401024,宋若彤,大一演示1班,女,1,9.24,,272,166,,44,22.4
2026401025,唐欣妍,大一演示1班,女,1,9.38,,282,160,,42,23.2
2026401026,冯书瑶,大一演示1班,女,1,9.52,,292,154,,39,24.1
2026401027,韩沐瑶,大一演示1班,女,1,9.76,,306,148,,34,24.8
2026401029,彭语嫣,大一演示1班,女,1,10.02,,320,142,,28,25.6
